key,label,category,project_present,manuscript_present,project_evidence,manuscript_evidence,priority,target_section,recommendation
friedman_test,Friedman statistical test,statistics,True,False,results/wp1a_tables/table_06_statistical_summary.csv; results/wp1a_tables/table_06_statistical_summary.tex; results/wp1a_tables/WP1A_tables_report.md; results/wp1a_tables/tables_manifest.csv; results/wp1a_cd_diagram/cd_analysis_report.md; results/wp1a_cd_diagram/cd_analysis_summary.json; results/wp1a_statistics/class_level_statistics.csv; results/wp1a_statistics/trajectory_metrics.parquet,,critical,Results / Statistical analysis,"Report the Friedman test, test statistic, p-value, number of trajectories, and interpretation."
nemenyi_posthoc,Nemenyi post-hoc comparison,statistics,True,False,results/wp1a_tables/tables_manifest.csv; results/wp1a_tables/table_03_pairwise_statistics.tex; results/wp1a_tables/table_03_pairwise_statistics.csv; results/wp1a_cd_diagram/average_ranks_recomputed.csv; results/wp1a_cd_diagram/cd_analysis_report.md; results/wp1a_cd_diagram/nemenyi_significance_matrix.csv; results/wp1a_cd_diagram/nonsignificant_groups.csv; results/wp1a_cd_diagram/critical_difference_diagram.png,,critical,Results / Statistical analysis,"Add the Nemenyi post-hoc procedure, corrected pairwise results, critical difference, and significant comparison count."
cd_diagram,Critical Difference diagram,figures,True,False,results/wp1a_cd_diagram/average_ranks_recomputed.csv; results/wp1a_cd_diagram/cd_analysis_report.md; results/wp1a_cd_diagram/nemenyi_significance_matrix.csv; results/wp1a_cd_diagram/nonsignificant_groups.csv; results/wp1a_cd_diagram/critical_difference_diagram.png; results/wp1a_cd_diagram/cd_analysis_summary.json; results/wp1a_cd_diagram/critical_difference_diagram.pdf; results/wp1a_cd_diagram/nemenyi_pairwise.csv,,major,Results / Figures,Include or cite the Critical Difference diagram and explain the groups of statistically indistinguishable models.
class_level_analysis,Detailed class/fault-level analysis,results,True,True,results/wp1a_fault_analysis/fault_analysis_summary.json; results/wp1a_fault_analysis/experiment_manifest.json; results/wp1a_fault_analysis/fault_analysis_report.md; results/eers_sprint1 (Case Conflict 1)/paper_v0_2.json; results/wp1a_article_validation/compile_output.txt; results/wp1a_article_validation/file_checks.csv; results/wp1a_article_validation/validation_report.md; results/wp1a_article/main.tex,"class-level, fault-level",none,Results and Discussion,No gap detected.
global_benchmark,Global benchmark comparison,results,True,True,results/wp1a_benchmark_test/benchmark_summary.csv; results/wp1a_benchmark_test/benchmark_test_ranking.csv; results/wp1a_benchmark_test/benchmark_failures.json; results/wp1a_benchmark_test/benchmark_run_summary.json; results/wp1a_benchmark_test/benchmark_data_manifest.csv; results/wp1a_benchmark_test/benchmark_environment.json; results/wp1a_benchmark_test/benchmark_column_manifest.csv; results/wp1a_tables/table_01_global_test_performance.csv,"histgradientboosting, random forest, extra trees, logistic regression, linear svm",none,Methods and Results,No gap detected.
validation_test_comparison,Validation versus test comparison,methodology,True,False,results/wp1a_tables/table_05_validation_test_comparison.csv; results/wp1a_tables/table_05_validation_test_comparison.tex; results/wp1a_tables/tables_manifest.csv; results/wp1a_statistics/validation_test_comparison.csv; results/wp1a_final_package/final_report/wp1a_artifact_inventory.csv; results/wp1a_final_package/wp1a_reproducibility_package/documentation/checksums_sha256.txt; results/wp1a_final_package/wp1a_reproducibility_package/documentation/package_contents.txt; results/wp1a_final_package/wp1a_reproducibility_package/documentation/wp1a_artifact_inventory.csv,,major,Methods / Experimental protocol,Explain how validation guided model selection and how the test partition remained isolated until final evaluation.
quality_control,Data quality-control audit,methodology,True,False,results/wp1a_quality_control/qc_split_summary.csv; results/wp1a_quality_control/qc_feature_statistics.csv; results/wp1a_quality_control/qc_checks.csv; results/wp1a_quality_control/qc_class_distribution.csv; results/wp1a_quality_control/qc_trajectory_integrity.csv; results/wp1a_quality_control/benchmark_readiness.json; results/wp1a_quality_control/quality_control_summary.json; results/wp1a_quality_control/quality_control_report.md,,major,Methods / Data preparation,"Summarize the data-quality checks: schema consistency, missing values, duplicates, trajectory integrity, and class coverage."
run_level_split,Run-level or trajectory-level splitting,methodology,True,True,results/wp1a_benchmark_test/benchmark_run_summary.json; results/wp1a_benchmark_test/benchmark_column_manifest.csv; results/wp1a_tables/table_06_statistical_summary.csv; results/wp1a_tables/WP1A_tables_report.md; results/eda/pca_scores.csv; results/wp1a_cd_diagram/cd_analysis_report.md; results/wp1a_cd_diagram/cd_analysis_summary.json; results/wp1a_benchmark/benchmark_run_summary.json,"run-level, independent runs",none,Methods / Experimental protocol,No gap detected.
class_balance_sampling,Class balance and stratified sampling,methodology,True,False,results/wp1a_quality_control/qc_class_distribution.csv; results/audit/tep_class_distribution.csv; results/eda/figures/class_distribution.png; src/13_tcn_benchmark.py; src/13_tcn_benchmark_atualizado.py; src/04_baseline_classificacao_v2.py; src/11_cnn_attention.py; src/08_build_temporal_sequences_v2.py,,major,Methods / Sampling,"Report the per-class sampling limits, resulting sample counts, and rationale for balanced macro-level comparison."
primary_metric,Primary metric justification,statistics,True,True,results/wp1a_benchmark_test/benchmark_summary.csv; results/wp1a_benchmark_test/benchmark_test_ranking.csv; results/wp1a_tables/table_06_statistical_summary.csv; results/wp1a_tables/table_01_global_test_performance.csv; results/wp1a_tables/WP1A_tables_report.md; results/wp1a_fault_analysis/fault_analysis_summary.json; results/wp1a_fault_analysis/experiment_manifest.json; results/wp1a_fault_analysis/fault_analysis_report.md,"primary metric, f1-score",none,Methods / Metrics,No gap detected.
